1;Toy Story (1995);"Toy Story is a computer animated film series and Disney media franchise that began with the original 1995 film, Toy Story, produced by Pixar Animation Studios and released by Walt Disney Pictures. The franchise is based on the anthropomorphic concept that all toys, unknown to humans, are secretly alive, and the films focus on a diverse group of toys that feature a classic cowboy, Sheriff Woody, and modern spaceman, Buzz Lightyear. The group unexpectedly embark on adventures that challenge and change them.
The first two films of the franchise were directed by John Lasseter, and the third by Lee Unkrich, who acted as the co-director of the second film (together with Lasseter and Ash Brannon). Lasseter will return to direct the upcoming fourth film.
All three films, produced on a total budget of $320 million, have grossed more than $1.9 billion worldwide. Each film set box office records, with the third included in the top 15 all time worldwide films. Critics have given all three films extremely positive reviews. Special Blu-ray and DVD editions of Toy Story and Toy Story 2 were released on March 23, 2010. They were also re-released in theaters as a Disney Digital 3-D ""double feature"" for at least two weeks in October 2009.
The series is the 24th highest-grossing franchise worldwide, the fifth highest-grossing animated franchise (behind Shrek, Ice Age, Despicable Me and Madagascar), and is among the most critically acclaimed trilogies of all time. On November 1, 2011, all three Toy Story films were released in Disney Blu-ray 3D as a trilogy pack and as individual films."
2;GoldenEye (1995);"GoldenEye (1995) is the seventeenth spy film in the James Bond series, and the first to star Pierce Brosnan as the fictional MI6 officer James Bond. The film was directed by Martin Campbell and is the first in the series not to take story elements from the works of novelist Ian Fleming. The story was conceived and written by Michael France, with later collaboration by other writers. In the film, Bond fights to prevent an ex-MI6 agent, gone rogue, from using a satellite against London to cause a global financial meltdown.
GoldenEye was released in 1995 after a six-year hiatus in the series caused by legal disputes, during which Timothy Dalton resigned from the role of James Bond and was replaced by Pierce Brosnan. M was also recast, with actress Judi Dench becoming the first woman to portray the character, replacing Robert Brown. The role of Miss Moneypenny was also recast, with Caroline Bliss being replaced by Samantha Bond; Desmond Llewelyn was the only actor to reprise his role as Q. GoldenEye was the first Bond film made after the dissolution of the Soviet Union and the end of the Cold War, which provided a background for the plot.
The film accumulated a worldwide gross of US$350.7 million, considerably better than Dalton's films, without taking inflation into account. The film received positive reviews, with critics viewing Brosnan as a definite improvement over his predecessor. The film also received award nominations for ""Best Achievement in Special Effects"" and ""Best Sound"" from the British Academy of Film and Television Arts.
The name ""GoldenEye"" pays homage to James Bond's creator, Ian Fleming. While working for British Naval Intelligence as a lieutenant commander, Fleming liaised with the American OSS to monitor developments in Spain after the Spanish Civil War in an operation codenamed Operation Goldeneye. Fleming used the name of his operation for his estate in Oracabessa, Jamaica."
3;Four Rooms (1995);"Four Rooms is a 1995 American anthology comedy film directed by Allison Anders, Alexandre Rockwell, Robert Rodriguez, and Quentin Tarantino, each directing a segment of it that in its entirety is loosely based on the adult short fiction writings of Roald Dahl, especially Man from the South which is the basis for the last one, Penthouse - ""The Man from Hollywood"" directed by Tarantino. The story is set in the fictional Hotel Mon Signor in Los Angeles on New Year's Eve. Tim Roth plays Ted, the bellhop and main character in the frame story, whose first night on the job consists of four very different encounters with various hotel guests."
4;Get Shorty (1995);"Get Shorty is a 1995 American crime thriller comedy film based on Elmore Leonard's novel of the same name. Directed by Barry Sonnenfeld and starring John Travolta, Gene Hackman, Rene Russo, and Danny DeVito, the plot remained true to the book except for a few minor details.
A sequel, titled Be Cool, was released in 2005."
5;Copycat (1995);Copycat is a 1995 American psychological thriller directed by Jon Amiel and starring Sigourney Weaver, Holly Hunter and Dermot Mulroney. The score was composed by Christopher Young.
6;Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);"Shanghai Triad (simplified Chinese: 摇啊摇，摇到外婆桥; traditional Chinese: 搖啊搖，搖到外婆橋; pinyin: yáo a yáo, yáo dào wàipó qiáo) is a 1995 Chinese film, directed by Zhang Yimou and starring Gong Li, based on Li Xiao's 1994 novel. The film is set in the criminal underworld of 1930s Shanghai, Republic of China and spans seven days. Shanghai Triad's Chinese title reads ""Row, row, row to Grandma Bridge"", refers to a well known traditional Chinese lullaby.
The film was the last collaboration between Zhang Yimou and actress Gong Li in the 1990s, thus ending a successful partnership that had begun with Zhang's debut, Red Sorghum, and had evolved into a romantic relationship as well. With the wrapping of filming for Shanghai Triad the two agreed to end their relationship both professionally and personally. Gong Li and Zhang Yimou would not work together again until 2006's Curse of the Golden Flower."
7;Twelve Monkeys (1995);"12 Monkeys, also known as Twelve Monkeys, is a 1995 American neo-noir science fiction film directed by Terry Gilliam, inspired by Chris Marker's 1962 short film La Jetée, and starring Bruce Willis, Madeleine Stowe, and Brad Pitt, with Christopher Plummer and David Morse in supporting roles. After Universal Studios acquired the rights to remake La Jetée as a full-length film, David and Janet Peoples were hired to write the script.
Under Gilliam's direction, Universal granted the filmmakers a $29.5 million budget, and filming lasted from February to May 1995. The film was shot mostly in Philadelphia and Baltimore, where the story was set.
The film was released to critical praise and grossed $168 million worldwide. Pitt was nominated for the Academy Award for Best Supporting Actor, and won a Golden Globe for his performance. The film also won and was nominated for various categories at the Saturn Awards."
8;Babe (1995);"Babe is a 1995 Australian-American comedy-drama film directed by Chris Noonan, produced by George Miller, and written by both. It is an adaptation of Dick King-Smith's 1983 novel The Sheep-Pig, also known as Babe: The Gallant Pig in the US, which tells the story of a pig who wants to be a sheepdog. The main animal characters are played by a combination of real and animatronic pigs and Border Collies.
After seven years of development, Babe was filmed in Robertson, New South Wales, Australia. The talking-animal visual effects were done by Rhythm & Hues Studios and Jim Henson's Creature Shop.
The film was a box office success and grossed $36,776,544 at the box office in Australia. It has received considerable acclaim from critics: it was nominated for seven Academy Awards including Best Picture, Best Director and Best Adapted Screenplay, winning Best Visual Effects. It also won the Golden Globe Award for Best Motion Picture – Musical or Comedy and the Saturn Award for Best Fantasy Film.
In 1998, Miller directed a sequel, Babe: Pig in the City."
9;Dead Man Walking (1995);Dead Man Walking is a 1995 American crime drama film starring Susan Sarandon and Sean Penn, and co-produced and directed by Tim Robbins, who adapted the screenplay from the non-fiction book of the same name. Sister Helen Prejean (Sarandon) establishes a special relationship with Matthew Poncelet (Penn), a prisoner on death row in Louisiana, acting as his spiritual adviser after carrying on correspondence with him.
10;Richard III (1995);Richard III is a 1995 British drama film adapted from William Shakespeare's play of the same name, starring Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Nigel Hawthorne, Kristin Scott Thomas, Maggie Smith, John Wood, and Dominic West. The film sets the play in a fictional fascist version of 1930s Britain.
